Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
33,ATORI,YASUDA,JPN,3t6 5b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
35,MORGANE,AVELINE,FRA,1t1 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
35,KAORI,EGUCHI,JPN,1t1 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
35,MATEJA,HOHKRAUT,SLO,1t1 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
35,DIANE,MERRICK,GBR,2t3 4b7,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
39,MANON,CHAPET,FRA,1t1 4b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
40,SILVIE,RAJFOVA,CZE,1t1 3b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
41,EVA,CARRO FERNÁNDEZ,ESP,1t1 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
41,MINA,LESLIE-WUJASTYK,GBR,1t2 3b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
41,JANA,MÜLLER,GER,1t2 3b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
41,ANNA,TSYGANOVA,RUS,1t1 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
45,CLEMENTINE,KAISER,FRA,1t2 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
45,KAROLINA,NEVELIKOVA,CZE,1t1 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
47,MARIJA,MILOSAVLJEVIC,SRB,1t3 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
47,GILL,PEET,GBR,1t2 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
49,HELEN,HALDENBY,GBR,1t3 1b2,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
49,GUNEL,QULIYEVA,AZE,0t 0b,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
1,RUSTAM,GELMANOV,RUS,4t5 5b5,0t 4b5,4t7 4b4,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
2,DMITRII,SHARAFUTDINOV,RUS,4t4 5b5,1t2 3b4,3t4 4b4,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
3,KILIAN,FISCHHUBER,AUT,4t7 5b9,0t 4b9,3t5 4b4,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
4,REI,SUGIMOTO,JPN,4t5 5b6,1t1 3b8,3t13 4b7,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
5,THOMAS,CALEYRON,FRA,4t6 4b4,1t2 3b6,2t3 4b5,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
6,JEREMY,BONDER,FRA,5t9 5b9,1t6 2b8,2t12 2b9,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
7,JORG,VERHOEVEN,NED,3t3 3b3,0t 4b11,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
8,MARTIN,STRANIK,CZE,4t8 5b9,0t 4b14,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
9,JONAS,BAUMANN,GER,3t4 4b6,0t 3b5,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
9,SEAN,MCCOLL,CAN,4t5 5b7,0t 3b5,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
9,IGNACIO,SANCHEZ GONZÁLEZ,ESP,3t3 3b3,0t 3b5,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
12,JERNEJ,KRUDER,SLO,4t8 5b10,0t 3b7,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
13,LUKAS,ENNEMOSER,AUT,4t5 5b12,0t 3b9,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
