Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
98,MAJA,JONJIC ARNAUTOVIC,ESP,0t1z 0 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
99,TOVE,WÅHLIN,SWE,0t1z 0 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
1,TOMOA,NARASAKI,JPN,4t5z 7 9,3t3z 5 5,4t4z 12 12,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
2,JERNEJ,KRUDER,SLO,4t5z 8 9,2t3z 5 6,3t4z 5 6,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
3,GREGOR,VEZONIK,SLO,4t4z 8 6,2t4z 8 10,3t4z 6 9,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
4,JONGWON,CHON,KOR,5t5z 7 6,3t4z 3 6,3t4z 9 18,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
5,ALEKSEY,RUBTSOV,RUS,5t5z 7 7,2t3z 5 7,2t4z 4 27,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
6,GABRIELE,MORONI,ITA,5t5z 7 6,3t3z 3 3,2t3z 7 14,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
7,ALEX,KHAZANOV,ISR,5t5z 8 7,2t2z 3 2,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
8,KEITA,WATABE,JPN,4t5z 6 9,2t2z 3 3,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
9,TOMOAKI,TAKATA,JPN,5t5z 13 11,2t2z 4 4,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
10,REI,SUGIMOTO,JPN,5t5z 9 6,2t2z 5 5,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
11,THILO JELDRIK,SCHRÖTER,NOR,4t4z 10 9,1t3z 1 7,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
12,NICOLAS,COLLIN,BEL,4t5z 16 16,1t3z 2 10,,Moscow_(RUS)_2018,21 April - 22 April 2018,Men
