Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
10,SHENGYAN,WANG,CHN,7.23,7.78 (7.237),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
11,JIMIN,JEONG,KOR,7.32,7.29,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
12,NARDA MUTIA,AMANDA,INA,7.30,fall (7.308),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
13,FRANZISKA,RITTER,GER,7.37,9.85 (7.377),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
14,CAPUCINE,VIGLIONE,FRA,7.383,7.69 (7.383),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
15,PATRYCJA,CHUDZIAK,POL,7.384,7.48 (7.384),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
16,YAFEI,ZHOU,CHN,7.42,7.50 (7.423),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
17,GIULIA,RANDI,ITA,7.43,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
18,ANDREA,ROJAS,ECU,7.46,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
19,YUJU,MU,CHN,7.49,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
20,SHAOQIN,ZHANG,CHN,7.56,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
21,ALIVANY,VER KHADIJAH,INA,7.62,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
22,VICTOIRE,ANDRIER,FRA,7.69,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
23,BERTHDIGNA DEVI SURYA,KUSUMA,INA,7.752,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
24,NURMA,ANJANI,INA,7.759,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
25,ANNA,BROZEK,POL,7.85,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
26,PIPER,KELLY,USA,7.92,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
27,LIBERTY,RUNNELS,USA,8.09,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
28,SOPHIA,CURCIO,USA,8.17,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
29,FUMIKA,KAWAKAMI,JPN,8.21,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
30,AI,TAKEUCHI,JPN,8.29,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
31,LISON,GAUTRON,FRA,8.35,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
32,BEATRICE,COLLI,ITA,8.40,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
33,HARUKA,KANETANI,JPN,8.44,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
34,HEEJU,NOH,KOR,8.51,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
35,SUSAN,NURHIDAYAH,INA,8.68,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
