FName,LName,full_name,ExtraData,AthleteURL
JOAQUIN,TAPIA,JOAQUIN TAPIA,CHI • 2003,https://ifsc.results.info/#/athlete/14887
OKSANA,BUROVA,OKSANA BUROVA,UKR • 2004,https://ifsc.results.info/#/athlete/11596
KSENIIA,HORIELOVA,KSENIIA HORIELOVA,UKR • 2007,https://ifsc.results.info/#/athlete/13052
ALINA,SHCHYHARIEVA,ALINA SHCHYHARIEVA,UKR • 2002,https://ifsc.results.info/#/athlete/11593
PRATTHANA,RAKSACHAT,PRATTHANA RAKSACHAT,THA • 1995,https://ifsc.results.info/#/athlete/3928
ARINA,KOZLOVA,ARINA KOZLOVA,KAZ • 2007,https://ifsc.results.info/#/athlete/13064
NICOLE,MEJIA,NICOLE MEJIA,ECU • 1997,https://ifsc.results.info/#/athlete/6359
JINGJIE,HUANG,JINGJIE HUANG,CHN • 2000,https://ifsc.results.info/#/athlete/13600
YU,LIN,YU LIN,CHN • 1998,https://ifsc.results.info/#/athlete/14121
YINGYI,WU,YINGYI WU,CHN • 2001,https://ifsc.results.info/#/athlete/15136
DINGFENG,ZHANG,DINGFENG ZHANG,CHN • 2001,https://ifsc.results.info/#/athlete/13604
YOUNGHYUN,KIM,YOUNGHYUN KIM,KOR • 1997,https://ifsc.results.info/#/athlete/2064
GANESH,BHUJEL,GANESH BHUJEL,IND • 1993,https://ifsc.results.info/#/athlete/11619
DHIRAJ DINKAR,BIRAJDAR,DHIRAJ DINKAR BIRAJDAR,IND • 1996,https://ifsc.results.info/#/athlete/14114
ZAHEER,AHMAD,ZAHEER AHMAD,PAK • 1992,https://ifsc.results.info/#/athlete/4336
MIR ABUZAR,FAIZ,MIR ABUZAR FAIZ,PAK • 2004,https://ifsc.results.info/#/athlete/15141
YUFANG,XIE,YUFANG XIE,CHN • 2002,https://ifsc.results.info/#/athlete/2995
GUIZHEN,XIE,GUIZHEN XIE,CHN • 1998,https://ifsc.results.info/#/athlete/7165
KAITLYN,BONE,KAITLYN BONE,USA • 2005,https://ifsc.results.info/#/athlete/14064
